name,uid,code,parent,shortname
Assaba,,,mBfWAWEnyeQ,
Brakna,,,mBfWAWEnyeQ,
Dakhlet Nouadhibou,,,mBfWAWEnyeQ,
Gorgol,,,mBfWAWEnyeQ,
Guidimaka,,,mBfWAWEnyeQ,
Hodh Ech Chargui,,,mBfWAWEnyeQ,
Hodh El Gharbi,,,mBfWAWEnyeQ,
Inchiri,,,mBfWAWEnyeQ,
Nouakchott,,,mBfWAWEnyeQ,
Tagant,,,mBfWAWEnyeQ,
Tiris Zemmour,,,mBfWAWEnyeQ,
Trarza,,,mBfWAWEnyeQ,
Dakar,,,SQIQNlBGBRT,Dakar
Diourbel,,,SQIQNlBGBRT,Diourbel
Fatick,,,SQIQNlBGBRT,Fatick
Kédougou,,,SQIQNlBGBRT,Kédougou
Kaffrine,,,SQIQNlBGBRT,Kaffrine
Kaolack,,,SQIQNlBGBRT,Kaolack
Kolda,,,SQIQNlBGBRT,Kolda
Louga,,,SQIQNlBGBRT,Louga
Matam,,,SQIQNlBGBRT,Matam
Sédhiou,,,SQIQNlBGBRT,Sédhiou
Saint-Louis,,,SQIQNlBGBRT,Saint-Louis
Tambacounda,,,SQIQNlBGBRT,Tambacounda
Thiès,,,SQIQNlBGBRT,Thiès
Ziguinchor,,,SQIQNlBGBRT,Ziguinchor
